model,ablation,condition,bodyuse,pair_id,cell_id,state_role,decl_order,body_order,dep_var,alt_var,target_var,control_var,role_dep_useState_form,decl_dep_first,pos_dep_first,n_tokens,decl_to_bracket_token_distance,dep_id,alt_id,target_id,control_id,logit_dep,logit_alt,logit_target,logit_control,D,LD_stateform,LD_reactive,LD_stateform_direct
llama3.2-1b,C,subscribe,control_only,pair_02,pair_02_C_subscribe_alt_reactive_reactive_first_control_only,alt_reactive,reactive_first,,status,cap,cap,status,False,False,,46,12,2899,11600,11600,2899,25.21875,24.375,24.375,25.21875,0.84375,-0.84375,-0.84375,-0.84375
llama3.2-1b,C,subscribe,neither,pair_02,pair_02_C_subscribe_alt_reactive_reactive_first_neither,alt_reactive,reactive_first,,status,cap,cap,status,False,False,,45,11,2899,11600,11600,2899,24.859375,24.421875,24.421875,24.859375,0.4375,-0.4375,-0.4375,-0.4375
llama3.2-1b,C,subscribe,both,pair_02,pair_02_C_subscribe_alt_reactive_stable_first_both_dep_first,alt_reactive,stable_first,dep_first,status,cap,cap,status,False,True,True,48,14,2899,11600,11600,2899,25.796875,25.21875,25.21875,25.796875,0.578125,-0.578125,-0.578125,-0.578125
llama3.2-1b,C,subscribe,both,pair_02,pair_02_C_subscribe_alt_reactive_stable_first_both_alt_first,alt_reactive,stable_first,alt_first,status,cap,cap,status,False,True,False,48,14,2899,11600,11600,2899,25.328125,25.78125,25.78125,25.328125,-0.453125,0.453125,0.453125,0.453125
llama3.2-1b,C,subscribe,target_only,pair_02,pair_02_C_subscribe_alt_reactive_stable_first_target_only,alt_reactive,stable_first,,status,cap,cap,status,False,True,,46,12,2899,11600,11600,2899,24.34375,25.578125,25.578125,24.34375,-1.234375,1.234375,1.234375,1.234375
llama3.2-1b,C,subscribe,control_only,pair_02,pair_02_C_subscribe_alt_reactive_stable_first_control_only,alt_reactive,stable_first,,status,cap,cap,status,False,True,,46,12,2899,11600,11600,2899,25.390625,24.375,24.375,25.390625,1.015625,-1.015625,-1.015625,-1.015625
llama3.2-1b,C,subscribe,neither,pair_02,pair_02_C_subscribe_alt_reactive_stable_first_neither,alt_reactive,stable_first,,status,cap,cap,status,False,True,,45,11,2899,11600,11600,2899,24.328125,24.171875,24.171875,24.328125,0.15625,-0.15625,-0.15625,-0.15625
llama3.2-1b,C,useEffect,both,pair_03,pair_03_C_useEffect_dep_reactive_reactive_first_both_dep_first,dep_reactive,reactive_first,dep_first,mode,max,mode,max,True,True,True,39,14,8684,2880,8684,2880,27.171875,24.0625,27.171875,24.0625,3.109375,3.109375,3.109375,3.109375
llama3.2-1b,C,useEffect,both,pair_03,pair_03_C_useEffect_dep_reactive_reactive_first_both_alt_first,dep_reactive,reactive_first,alt_first,mode,max,mode,max,True,True,False,39,14,8684,2880,8684,2880,27.15625,24.84375,27.15625,24.84375,2.3125,2.3125,2.3125,2.3125
llama3.2-1b,C,useEffect,target_only,pair_03,pair_03_C_useEffect_dep_reactive_reactive_first_target_only,dep_reactive,reactive_first,,mode,max,mode,max,True,True,,37,12,8684,2880,8684,2880,26.859375,22.140625,26.859375,22.140625,4.71875,4.71875,4.71875,4.71875
